125, Polish Lowland Sheepdogs , 30.0 , 50.0
126, Pomeranians , 3.0 , 7.0
127, Toy Poodles , 4.0 , 6.0
128, Miniature Poodles , 10.0 , 15.0
129, Standard Poodle , 40.0 , 70.0
130, Portuguese Podengo Pequenos , 9.0 , 13.0
131, Portuguese Water Dogs , 35.0 , 60.0
132, Pugs , 14.0 , 18.0
133, Pulik , 25.0 , 35.0
134, Pumik , 22.0 , 29.0
135, Pyrenean Shepherds , 15.0 , 30.0
136, Rat Terriers , 10.0 , 25.0
137, Redbone Coonhounds , 45.0 , 70.0
138, Retrievers (Chesapeake Bay) , 55.0 , 80.0
139, Retrievers (Curly Coated) , 60.0 , 95.0
140, Retrievers (Flat Coated) , 60.0 , 70.0
141, Retrievers (Golden) , 55.0 , 75.0
142, Retrievers (Labrador) , 55.0 , 80.0
143, Retrievers (Nova Scotia Duck Tolling) , 35.0 , 50.0
144, Rhodesian Ridgebacks , 70.0 , 85.0
145, Rottweilers , 80.0 , 135.0
146, Russell Terriers , 9.0 , 15.0
147, Salukis , 40.0 , 65.0
148, Samoyeds , 35.0 , 65.0
149, Schipperkes , 10.0 , 16.0
150, Scottish Deerhounds , 75.0 , 110.0
151, Scottish Terriers , 18.0 , 22.0
152, Sealyham Terriers , 22.0 , 24.0
153, Setters (English) , 45.0 , 80.0
154, Setters (Gordon) , 45.0 , 80.0
155, Setters (Irish Red and White) , 35.0 , 60.0
156, Setters (Irish) , 60.0 , 70.0
157, Shetland Sheepdogs , 15.0 , 25.0
158, Shiba Inu , 17.0 , 23.0
159, Shih Tzu , 9.0 , 16.0
160, Siberian Huskies , 35.0 , 60.0
161, Silky Terriers , 10.0 , 10.0
162, Skye Terriers , 32.0 , 45.0
163, Sloughis , 35.0 , 50.0
164, Soft Coated Wheaten Terriers , 30.0 , 40.0
165, Spaniels (American Water) , 25.0 , 45.0
166, Spaniels (Boykin) , 25.0 , 40.0
167, Spaniels (Clumber) , 55.0 , 85.0
168, Spaniels (English Cocker) , 26.0 , 34.0
169, Spaniels (English Springer) , 40.0 , 50.0
170, Spaniels (Field) , 35.0 , 50.0
171, Spaniels (Irish Water) , 45.0 , 68.0
172, Spaniels (Sussex) , 35.0 , 45.0
173, Spaniels (Welsh Springer) , 35.0 , 55.0
174, Spanish Water Dogs , 31.0 , 49.0
175, Spinoni Italiani , 56.0 , 56.0
176, St. Bernards , 120.0 , 180.0
177, Staffordshire Bull Terriers , 24.0 , 38.0
178, Standard Schnauzers , 30.0 , 50.0
179, Swedish Vallhunds , 20.0 , 35.0
180, Tibetan Mastiffs , 70.0 , 150.0
181, Tibetan Terriers , 17.0 , 30.0
182, Tibetan Spaniel , 9.0 , 15.0
183, Toy Fox Terriers , 3.5 , 7.0
184, Treeing Walker Coonhounds , 50.0 , 70.0
185, Vizslas , 44.0 , 60.0
186, Weimaraners , 55.0 , 90.0
187, Welsh Terriers , 18.0 , 20.0
188, West Highland White Terriers , 15.0 , 20.0
189, Whippets , 25.0 , 40.0
190, Wirehaired Pointing Griffons , 35.0 , 70.0
191, Wirehaired Vizslas , 45.0 , 65.0
192, Toy Xoloitzcuintli , 10.0 , 15.0
193, Miniature Xoloitzcuintli , 15.0 , 30.0
194, Standard Xoloitzcuintli , 30.0 , 55.0
195, Yorkshire Terriers , 7.0 , 7.0
